species
Angelica linearilobia
Antennaria sp
Aquilegia pubescens
Artemisia ludoviciana
Artemisia sp
Artemisia tridentata
Bromus tectorum
Carex sp
Castilleja sp
Ceanothus sp
Cercocarpus ledifolius
Chrysothamnus viscidiflorus
DG DG
Elymus elymoides
Ephedra viridis
Ericameria nauseosa
Ericameria sp
Erigeron sp
Eriogonum fasciculatum
Eriogonum latens
Eriogonum ovalifolium
Eriogonum sp
Eriogonum umbellatum
Eriogonum wrightii
Galium sp
Holodiscus discolor
Hulsea algida
Ivesia sp
Juncus sp
Leptosiphon pachyphyllus
Linanthus pungens
Manzanita sp
Monardella sp
Penstemon rostriflorus
Phacelia sp
Phlox condensata
Pinus sp
Poa sp
Purshia tridentata
Ribes cereum
Ribes sp
ROCK ROCK
Stipa hymenoides
Stipa sp
Stipa speciosa
Symphoricarpos rotundifolius
TALUS TALUS
Unknown forb
Unknown graminoid
Unknown shrub
Unknown/mixed
