,"Note these came from Calflora. Some unexpected categorizations: Linanthus pungens is a shrub. When specific growth forms could not be reliably extracted (e.g. due to missing specific epithet), a catch-all VEG was used. Note that Mtn mahogany lumped in with trees since it is the only spp on this list classified as ""Tree, shrub"" on Calflora and inds at my sites are typically above waist height; Eriog wrightii lumped in with shrub since inds at my sites tend to be woody. All ""background"" species, incl. Talus, Decomposing Granite, and Rock, labeled as ROCK"
species,growthform
Angelica linearilobia,Perennial herb
Antennaria sp,Perennial herb
Aquilegia pubescens,Perennial herb
Artemisia ludoviciana,Perennial herb
Artemisia sp,Unknown/mixed
Artemisia tridentata,Shrub
Bromus tectorum,Annual grass
Carex sp,Perennial grass
Castilleja sp,Perennial herb
Ceanothus sp,Shrub
Cercocarpus ledifolius,Tree
Chrysothamnus viscidiflorus,Shrub
DG DG,ROCK
Elymus elymoides,Perennial grass
Ephedra viridis,Shrub
Ericameria nauseosa,Shrub
Ericameria sp,Shrub
Erigeron sp,Perennial herb
Eriogonum fasciculatum,Shrub
Eriogonum latens,Perennial herb
Eriogonum ovalifolium,Perennial herb
Eriogonum sp,Unknown/mixed
Eriogonum umbellatum,Perennial herb
Eriogonum wrightii,Shrub
Galium sp,Perennial herb
Holodiscus discolor,Shrub
Hulsea algida,Perennial herb
Ivesia sp,Perennial herb
Juncus sp,Perennial grass
Leptosiphon pachyphyllus,Perennial herb
Linanthus pungens,Shrub
Manzanita sp,Shrub
Monardella sp,Perennial herb
Penstemon rostriflorus,Perennial herb
Phacelia sp,Perennial herb
Phlox condensata,Perennial herb
Pinus sp,Tree
Poa sp,Perennial grass
Purshia tridentata,Shrub
Ribes cereum,Shrub
Ribes sp,Shrub
ROCK ROCK,ROCK
Stipa hymenoides,Perennial grass
Stipa sp,Perennial grass
Stipa speciosa,Perennial grass
Symphoricarpos rotundifolius,Shrub
TALUS TALUS,ROCK
Unknown forb,Perennial herb
Unknown graminoid,Unknown/mixed
Unknown shrub,Shrub
Unknown/mixed,Unknown/mixed
VEG VEG,Unknown/mixed
