Position,Was a Homography or Affine transformation used?,Was a mask used during reference keypoint selection?,Notes about transformtions and alignment,Was the homography time series manually adjusted?,Alignment finished?,Snow digitized?,Completely finished?,"Quality of image time series (1 = Poor, 5 = Excellent; 0/Empty/NA = Unusable)"
Position,transformationType,maskUsed,transformationNotes,modifiedHomography,doneAligning,snowDigitized,doneProcessing,quality
BA-01,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-02,Homography,FALSE,All good after f2-generation alignments for 2018 through Nov 2019 and Nov 2019 through Apr 2020.,YES,YES,YES,YES,5
BA-03,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-04,Homography,FALSE,All good after realigning first half of 2019.,YES,YES,YES,YES,4
BA-05,Homography,FALSE,Good after 4 Apr 2019 frameshift.Acceptable prior to frameshift.,NO,YES,YES,YES,4
BA-06,Homography,TRUE,"Re-transformed with revised homography in 2019, based on early 2020 alignment. Starting in Sept 2020, cam door opened and obscured image.",YES,YES,YES,YES,5
BA-07,NOALIGN,FALSE,Broken exif data,NO,YES,NO,YES,0
BA-08,Homography,TRUE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-09,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-10,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-11,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-12,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
BA-13,Homography,FALSE,Slight shift/trend through 2019 due to manual override of messy transformation but overall fine,YES,YES,YES,YES,4
BA-14,Homography,FALSE,Applied a 15-day moving window. All good with no other interventions required.,YES,YES,YES,YES,5
BA-15,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
CN-01,Homography,FALSE,"Overrode Aug 2019 homographies to match first identified homography, and applied a moving window transform. Overall a fine alignment after these adjustments",YES,YES,YES,YES,4
CN-02,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
CN-03,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
CN-04,Homography,TRUE,"Somewhat noisy transformation, applied a moving average in transformation matrix",YES,YES,YES,YES,3
CN-05,Homography,FALSE,"Catastrophic frameshift winter 2020-2021. Prior to that, all good.",NO,YES,YES,YES,2
CN-06,Homography,FALSE,Realigned all Aug 2019 - 27 Oct 2019 to 28 Oct 2019. 28 Oct 2019 was the first successful alignment of the time series prio to that; after f2 alignment generation all was good.,NO,YES,YES,YES,5
CN-07,Homography,FALSE,All good after an f2 alignment for Aug 2019 - June 2020,NO,YES,YES,YES,5
CN-08,Homography,TRUE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
CN-09,Homography,FALSE,"All good after f2-generation alignments for fall 2019 and spring 2021, separately.",YES,YES,YES,YES,5
CN-10,Homography,FALSE,"Bad alignment in 2021. Generated custom 2021 alignment using 15 manual keypoints in alignment keyframe and 15 manual keypoints in a single 2021 image (using imageJ), then calculating homography from that and applying to all 2021 images (python3 printHomography.py).",YES,YES,YES,YES,5
CN-11,Homography,FALSE,"Bad alignment, but regions of interest are broad VEG VEG",NO,YES,YES,YES,2
CN-12,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
CN-13,Homography,FALSE,"Bad alignment for chunks of 2019. 2019-09-08 homography used for all 2019 images, and 2020-01-01 through 2020-06-09.",YES,YES,YES,YES,4
CN-14,Homography,FALSE,"Realigned some winter data. Slight issue persists during winter 2020-2021, but it is during a snow-covered period and insignificant for veg greenness.",YES,YES,YES,YES,4
CN-15,Homography,FALSE,Inconsistent lighting but good alignment,NO,YES,YES,YES,4
GB-01,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
GB-02,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
GB-03,Homography,FALSE,All good after an f2-generation alignment step,YES,YES,YES,YES,5
GB-04,Homography,FALSE,Great alignment after 3 subsets' worth of f2-generations,YES,YES,YES,YES,5
GB-05,Homography,FALSE,Aligned with mask. Not great but passable; No good in 2021,NO,YES,YES,YES,3
GB-06,Homography,FALSE,Poor alignment but a consistent mess of undifferentiable veg the whole time series.,NO,YES,YES,YES,3
GB-07,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
GB-08,Homography,FALSE,"Site is constantly eroding, preventing effective alignment. Some homographies overridden but still not a great camera.",YES,YES,YES,YES,2
GB-09,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
GB-10,Homography,FALSE,"Applied a 15-day moving window to the raw transformation. Then used f2-alignments on two subsets, generating somewhat shaky but decent alignment",YES,YES,YES,YES,4
GB-11,NOALIGN,FALSE,Essentially no alignment,NO,YES,NO,YES,0
GB-12,Homography,FALSE,All good after aligning all imagery pre-Jul 2020 to a reference frame then f2 with imageJ keypoints from there.,YES,YES,YES,YES,5
GB-13,Homography,FALSE,"Realigned all image prior to 7 June 2019 to an Aug 2018 image, then chainHomography'd to create a satisfactory f2 alignment table",YES,YES,YES,YES,5
GB-14,Homography,FALSE,All good w/ no manual intervention needed,NO,YES,YES,YES,5
GB-15,Homography,FALSE,Cam dropped in early 2020 and faced the sky. Sky photos removed. All directed photos aligned well,NO,YES,YES,YES,4
LN-01,Homography,FALSE,Applied a 15-day moving window transform. Overrode 2020-04-26 and 2020-04-27 to receive 2020-04-28 transformation. ,YES,YES,NO,YES,3
LN-02,Homography,FALSE,Decent custom homographies.,YES,YES,YES,YES,4
LN-03,Homography,FALSE,Slight shift/trend through 2019 due to manual override of messy transformation but overall fine,YES,YES,YES,YES,4
LN-04,Homography,FALSE,"Some shifting remains but decent alignment with manual transformations. For early 2020, use 12 May transformation. For 2019, use Sept 3 transformation. For 2021, use June 17.",YES,YES,YES,YES,3
LN-05,Homography,FALSE,Required many subsets for decent alignment. Acceptable results.,YES,YES,YES,YES,4
LN-06,Homography,FALSE,Bad alignment. Messy substrate prevents automated alignment.,NO,YES,NO,YES,0
LN-07,Homography,FALSE,"Bad alignment during a camera fall in 2020, but otherwise good once a mask was used. Bad alignment spanned 16 April 2020 through 23 June 2020.",NO,YES,YES,YES,4
LN-08,Homography,FALSE,Bad alignment early 2020 - repaired with manual alignment. Some issues with super early 2020 alignment but they're snowy days anyway,YES,YES,YES,YES,4
LN-09,Homography,FALSE,"Good alignment after manual override of very first few days, and 9,10,11 Aug 2019",YES,YES,YES,YES,4
LN-10,Homography,FALSE,Cam broken 25 Oct 2019 through 25 Apr 2020. Working with great alignment otherwise. First two days alignment failed.,NO,YES,YES,YES,4
LN-11,Homography,FALSE,"2 subsets, one for fall 2019 and one for spring 2020, were sufficient for a good alignment.",YES,YES,YES,YES,4
LN-12,Homography,FALSE,Generally poor alignment but good during 2020 and early 2021,NO,YES,NO,YES,0
LN-13,Homography,FALSE,All good after manually adjusting first 4 days of time series,YES,YES,YES,YES,5
LN-14,Homography,FALSE,NOTE TIME DISPARITY. CAM TIME IS OFFSET BY ABOUT A MONTH. Manual homography worked out decently.,YES,YES,YES,YES,4
LN-15,Homography,FALSE,Good alignment with manual override in 2019,YES,YES,YES,YES,4
OL-01,Homography,FALSE,"No good before 4 Aug 2020. Prior to that frame barely has overlap and a noisy substrate. Finally, the prominent Eriogonum in the image moves (trampled?) between 7 and 8 September 2019. Removing all pre-2020 photos from alignment workflow.",YES,YES,YES,YES,3
