system:index,2018-01-01T00:00:00,2018-01-17T00:00:00,2018-02-02T00:00:00,2018-02-18T00:00:00,2018-03-06T00:00:00,2018-03-22T00:00:00,2018-04-07T00:00:00,2018-04-23T00:00:00,2018-05-09T00:00:00,2018-05-25T00:00:00,2018-06-10T00:00:00,2018-06-26T00:00:00,2018-07-12T00:00:00,2018-07-28T00:00:00,2018-08-13T00:00:00,2018-08-29T00:00:00,2018-09-14T00:00:00,2018-09-30T00:00:00,2018-10-16T00:00:00,2018-11-01T00:00:00,2018-11-17T00:00:00,2018-12-03T00:00:00,2018-12-19T00:00:00,2019-01-01T00:00:00,2019-01-17T00:00:00,2019-02-02T00:00:00,2019-02-18T00:00:00,2019-03-06T00:00:00,2019-03-22T00:00:00,2019-04-07T00:00:00,2019-04-23T00:00:00,2019-05-09T00:00:00,2019-05-25T00:00:00,2019-06-10T00:00:00,2019-06-26T00:00:00,2019-07-12T00:00:00,2019-07-28T00:00:00,2019-08-13T00:00:00,2019-08-29T00:00:00,2019-09-14T00:00:00,2019-09-30T00:00:00,2019-10-16T00:00:00,2019-11-01T00:00:00,2019-11-17T00:00:00,2019-12-03T00:00:00,2019-12-19T00:00:00,2020-01-01T00:00:00,2020-01-17T00:00:00,2020-02-02T00:00:00,2020-02-18T00:00:00,2020-03-05T00:00:00,2020-03-21T00:00:00,2020-04-06T00:00:00,2020-04-22T00:00:00,2020-05-08T00:00:00,2020-05-24T00:00:00,2020-06-09T00:00:00,2020-06-25T00:00:00,2020-07-11T00:00:00,2020-07-27T00:00:00,2020-08-12T00:00:00,2020-08-28T00:00:00,2020-09-13T00:00:00,2020-09-29T00:00:00,2020-10-15T00:00:00,2020-10-31T00:00:00,2020-11-16T00:00:00,2020-12-02T00:00:00,2020-12-18T00:00:00,2021-01-01T00:00:00,2021-01-17T00:00:00,2021-02-02T00:00:00,2021-02-18T00:00:00,2021-03-06T00:00:00,2021-03-22T00:00:00,2021-04-07T00:00:00,2021-04-23T00:00:00,2021-05-09T00:00:00,2021-05-25T00:00:00,2021-06-10T00:00:00,2021-06-26T00:00:00,2021-07-12T00:00:00,2021-07-28T00:00:00,2021-08-13T00:00:00,2021-08-29T00:00:00,PlotID,PlotNum,Site,.geo
0,2599,2539,2238,-99999,1567,2427,2813,2919,2274,2562,1995,2340,2121,1744,1844,1904,1835,1976,2183,1957,2086,2071,2141,2141,-99999,-99999,-99999,-99999,2487,1864,2304,2222,2569,2827,2046,2349,2480,2277,2316,2246,2161,1953,2240,2652,-99999,-99999,1685,2053,1849,2314,2699,1914,1929,3432,3198,2707,2507,2011,2158,1759,2511,2486,2315,2263,2313,2249,2291,2424,1933,1790,1992,2060,2152,1878,1986,1670,2165,1686,2055,1936,1974,1963,1733,1694,1815,BA-01,1,BA,"{""type"":""Point"",""coordinates"":"
1,2400,2666,2725,2357,2689,2771,2832,2806,2607,2361,2236,2340,2223,2015,2079,2087,2088,2045,2080,2081,2150,1957,2296,2296,-99999,-99999,-99999,-99999,2225,3004,2674,2907,2829,2616,2277,2480,2484,2321,2377,2302,2223,2426,2354,2366,2072,-99999,2193,2221,2353,1968,2699,2443,2975,3432,2982,2624,2380,2123,2226,2398,2363,2282,2116,2325,2346,2292,2280,2202,2298,2030,2171,2060,1962,1909,2035,2026,2057,2046,2053,1974,1938,2001,1946,1737,1891,BA-02,2,BA,"{""type"":""Point"",""coordinates"":"
2,2599,2539,2238,-99999,1567,2427,2813,2919,2274,2562,1995,2340,2121,1744,1844,1904,1835,1976,2183,1957,2086,2071,2141,2141,-99999,-99999,-99999,-99999,2487,1864,2304,2222,2569,2827,2046,2349,2480,2277,2316,2246,2161,1953,2240,2652,-99999,-99999,1685,2053,1849,2314,2699,1914,1929,3432,3198,2707,2507,2011,2158,1759,2511,2486,2315,2263,2313,2249,2291,2424,1933,1790,1992,2060,2152,1878,1986,1670,2165,1686,2055,1936,1974,1963,1733,1694,1815,BA-03,3,BA,"{""type"":""Point"",""coordinates"":"
3,2904,1827,1736,-99999,2654,2477,2565,2993,3191,3924,3276,3050,2654,2339,2354,2444,2320,2338,2114,2051,2126,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-275,1592,2057,3281,3269,2972,3515,3266,3032,3109,3109,2470,2331,2495,2016,2710,-99999,-99999,-99999,957,2202,-99999,-99999,5452,3461,2778,3060,3414,3355,3130,2894,2751,2734,2946,2351,2484,2500,2835,2295,2411,-99999,-99999,2533,-99999,-99999,2582,2357,2300,2487,2706,3009,2721,2253,2155,2415,2626,2122,BA-04,4,BA,"{""type"":""Point"",""coordinates"":"
4,3685,2452,2585,-99999,2144,1949,2713,3006,3338,3232,3344,3073,2862,2624,2615,2661,2654,2620,2630,2578,2569,-99999,-99999,2214,-99999,-99999,-99999,-99999,717,3007,3361,3910,3557,3692,3735,3626,3349,3303,3276,3100,2769,2974,3005,3545,-99999,-99999,-99999,-99999,2461,2602,2733,2665,2037,3163,3531,3881,3668,3362,3160,2954,3109,2787,2915,2777,2817,2824,2953,2942,3358,-99999,3135,-99999,3580,3300,2416,3739,2829,2977,2831,2735,2699,2791,2775,2627,2431,BA-05,5,BA,"{""type"":""Point"",""coordinates"":"
5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,794,1225,880,647,654,903,739,1274,2016,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-745,-793,-99999,845,933,1011,645,1246,627,779,764,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-886,-165,305,936,1028,1143,1306,861,1146,1433,1053,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-581,-654,502,791,764,1179,906,1177,839,BA-06,6,BA,"{""type"":""Point"",""coordinates"":"
6,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-795,-750,-99999,-99999,82,811,666,1331,647,1466,917,1003,1006,2016,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-745,-540,-130,922,933,592,855,700,1108,1006,1296,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-822,-406,76,1549,557,494,787,929,701,801,1433,1053,-99999,1526,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-558,-654,-99999,497,614,699,734,617,1502,BA-07,7,BA,"{""type"":""Point"",""coordinates"":"
7,-99999,-99999,-99999,-99999,-99999,-99999,-99999,81,306,1173,-99999,1728,1275,2235,1275,1845,1362,996,895,1541,1285,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,847,-99999,-99999,2156,2470,2109,1289,858,971,1495,723,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-80,270,1321,994,1767,1361,1314,1696,1024,1242,1225,871,1517,-99999,685,-99999,-99999,-99999,-99999,-99999,-99999,-99999,79,583,1555,1328,1463,818,1169,1492,1413,1816,BA-08,8,BA,"{""type"":""Point"",""coordinates"":"
8,-99999,-99999,-99999,-99999,-99999,-99999,-99999,81,306,1173,-99999,1728,1275,2235,1275,1845,1362,996,895,1541,1285,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,847,-99999,-99999,2156,2470,2109,1289,858,971,1495,723,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-80,270,1321,994,1767,1361,1314,1696,1024,1242,1225,871,1517,-99999,685,-99999,-99999,-99999,-99999,-99999,-99999,-99999,79,583,1555,1328,1463,818,1169,1492,1413,1816,BA-09,9,BA,"{""type"":""Point"",""coordinates"":"
9,-99999,-99999,2844,-99999,-99999,264,-99999,3040,1913,3109,3893,3095,4384,2176,4605,3149,3230,1813,3413,2338,3443,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-180,-99999,855,1971,5407,2708,2788,3128,2433,2541,3499,3056,3304,2174,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2056,2237,2768,4022,4524,3011,2785,2436,1883,2220,2028,3377,3529,1790,2863,-99999,-99999,-99999,-99999,-99999,-99999,1634,1531,2514,2241,3465,2769,2910,2359,4628,4068,3843,BA-10,10,BA,"{""type"":""Point"",""coordinates"":"
